,Fear_UTER,Area_size,Ceiling_height,Light_contrast,Light_levels,Light_temperature,Blocked_path,Empty_room,Hiding_place,Interior_arrangement,Triggers_present,Battery_present,Note_present,Event,Cutscene,Channel_id
59,1.0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,Anida
60,1.0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,Anida
61,-1.0,-1,0,1,1,0,0,0,0,0,0,0,0,-1,0,Anida
62,-1.0,-1,0,1,1,0,1,0,0,-1,0,0,0,-1,0,Anida
63,-1.0,0,0,0,1,0,1,0,0,-1,1,-1,0,0,0,Anida
64,-1.0,0,0,0,1,-1,1,0,0,-1,1,0,-1,1,0,Anida
65,-1.0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0,Anida
66,-1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Anida
67,-1.0,1,1,1,0,0,-1,0,0,1,-1,0,1,-1,-1,Anida
68,-1.0,-1,-1,-1,0,-1,0,1,0,0,0,1,-1,0,0,Anida
69,-1.0,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,0,0,Anida
70,-1.0,0,-1,0,-1,-1,1,0,0,0,0,0,-1,0,0,Anida
71,-1.0,1,0,-1,1,0,1,0,0,0,-1,0,1,0,0,Anida
72,-1.0,1,0,0,0,1,1,-1,0,-1,0,0,1,0,0,Anida
73,-1.0,-1,0,1,-1,0,-1,0,0,0,1,0,-1,1,0,Anida
74,-1.0,-1,-1,0,-1,0,0,1,0,0,0,0,-1,-1,0,Anida
75,-1.0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,Anida
76,-1.0,1,0,-1,-1,0,0,1,-1,0,0,0,0,-1,-1,Anida
77,-1.0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,Anida
78,-1.0,-1,-1,1,1,0,0,1,0,0,0,0,-1,0,0,Anida
79,-1.0,1,0,0,0,0,1,0,0,0,0,1,-1,1,0,Anida
80,-1.0,0,0,-1,-1,0,-1,0,0,0,1,-1,0,-1,0,Anida
81,-1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,1,0,Anida
82,-1.0,-1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,Anida
83,-1.0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,0,Anida
84,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,Anida
85,-1.0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,Anida
86,-1.0,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,Anida
87,-1.0,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,Anida
88,1.0,1,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,CoryxKenshin
89,1.0,0,0,0,-1,1,-1,0,0,1,-1,0,1,0,0,CoryxKenshin
90,1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,CoryxKenshin
91,1.0,-1,-1,-1,-1,0,0,1,0,1,0,0,0,1,0,CoryxKenshin
92,1.0,1,1,1,1,0,1,-1,0,-1,-1,0,0,0,0,CoryxKenshin
93,1.0,1,1,1,1,0,-1,0,0,1,-1,0,0,-1,-1,CoryxKenshin
94,1.0,-1,-1,-1,0,-1,0,1,0,0,0,1,-1,0,0,CoryxKenshin
95,1.0,1,1,1,0,1,0,-1,0,0,0,-1,1,1,0,CoryxKenshin
96,1.0,-1,0,0,0,0,0,-1,0,0,-1,0,1,0,0,CoryxKenshin
97,1.0,0,0,0,-1,0,1,-1,0,-1,0,0,0,1,0,CoryxKenshin
98,1.0,0,0,1,-1,1,0,-1,0,0,-1,0,1,0,0,CoryxKenshin
99,1.0,-1,-1,0,-1,0,0,1,0,0,0,0,-1,0,0,CoryxKenshin
100,1.0,-1,0,0,1,0,-1,0,0,0,0,0,1,0,0,CoryxKenshin
101,1.0,1,0,-1,1,0,1,0,0,0,-1,0,1,0,0,CoryxKenshin
102,1.0,-1,0,-1,1,0,0,1,0,0,0,0,0,0,0,CoryxKenshin
103,1.0,-1,0,1,-1,0,-1,0,0,0,1,0,-1,1,0,CoryxKenshin
104,1.0,1,0,0,-1,0,1,0,0,0,0,0,-1,0,0,CoryxKenshin
105,1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,1,1,CoryxKenshin
106,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,CoryxKenshin
107,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,1,0,CoryxKenshin
108,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,CoryxKenshin
109,1.0,0,0,1,1,0,1,0,0,0,-1,1,0,1,0,CoryxKenshin
110,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,1,0,CoryxKenshin
111,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CoryxKenshin
112,1.0,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,CoryxKenshin
113,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,CoryxKenshin
114,1.0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,CoryxKenshin
115,1.0,0,0,-1,-1,0,-1,0,0,0,1,-1,0,0,0,CoryxKenshin
116,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CoryxKenshin
117,1.0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,CoryxKenshin
118,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CoryxKenshin
119,1.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,CoryxKenshin
120,1.0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,CoryxKenshin
121,1.0,0,0,-1,-1,0,-1,0,0,0,1,-1,0,0,0,CoryxKenshin
122,-1.0,-1,0,1,1,0,0,0,0,0,0,0,0,-1,0,CoryxKenshin
123,-1.0,0,0,0,-1,0,-1,0,0,1,-1,1,0,0,0,CoryxKenshin
124,-1.0,0,0,0,1,0,1,0,0,-1,1,-1,0,0,0,CoryxKenshin
125,-1.0,0,0,0,1,-1,1,0,0,-1,1,0,-1,1,0,CoryxKenshin
126,-1.0,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,CoryxKenshin
127,-1.0,0,0,-1,-1,0,0,0,0,0,1,0,1,0,1,CoryxKenshin
128,-1.0,0,-1,0,-1,-1,1,0,0,0,0,0,-1,0,0,CoryxKenshin
129,-1.0,0,1,0,1,1,-1,0,0,0,0,0,1,0,0,CoryxKenshin
130,-1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,0,0,CoryxKenshin
131,-1.0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,CoryxKenshin
132,-1.0,0,0,0,1,0,-1,1,0,1,0,0,0,-1,0,CoryxKenshin
133,-1.0,0,0,-1,1,-1,0,1,0,0,1,0,-1,0,0,CoryxKenshin
134,-1.0,1,1,1,0,1,0,-1,0,0,-1,0,1,-1,0,CoryxKenshin
135,-1.0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,CoryxKenshin
136,-1.0,0,0,0,-1,1,0,0,0,-1,1,0,-1,0,0,CoryxKenshin
137,-1.0,-1,0,0,0,-1,-1,1,0,1,0,0,-1,0,0,CoryxKenshin
138,-1.0,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,CoryxKenshin
139,-1.0,1,0,0,0,1,1,-1,0,-1,0,0,1,0,0,CoryxKenshin
140,-1.0,0,0,0,1,-1,0,0,0,1,-1,0,1,-1,0,CoryxKenshin
141,-1.0,-1,-1,1,1,0,0,1,0,0,0,0,-1,0,0,CoryxKenshin
142,-1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,CoryxKenshin
143,-1.0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,CoryxKenshin
144,-1.0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,CoryxKenshin
145,-1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,CoryxKenshin
146,-1.0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,0,CoryxKenshin
147,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,CoryxKenshin
148,-1.0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,CoryxKenshin
149,-1.0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,CoryxKenshin
150,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,CoryxKenshin
151,-1.0,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,CoryxKenshin
152,-1.0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,CoryxKenshin
153,-1.0,0,0,1,1,0,1,0,0,0,-1,1,0,0,0,CoryxKenshin
154,-1.0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,CoryxKenshin
155,-1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,CoryxKenshin
156,1.0,-1,0,1,1,0,0,0,0,0,0,0,0,-1,0,DeadMeat
157,1.0,1,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,DeadMeat
158,1.0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,DeadMeat
159,1.0,0,0,1,1,0,1,-1,0,-1,1,0,0,0,0,DeadMeat
160,1.0,0,0,-1,-1,0,-1,1,0,1,-1,0,0,0,0,DeadMeat
161,1.0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,DeadMeat
162,1.0,-1,0,0,1,0,-1,0,0,0,0,0,1,1,0,DeadMeat
163,1.0,1,1,1,1,0,0,0,0,0,0,-1,1,1,0,DeadMeat
164,1.0,0,0,0,-1,0,1,-1,0,-1,0,0,0,-1,0,DeadMeat
165,1.0,-1,0,0,0,0,0,-1,0,0,-1,0,1,0,0,DeadMeat
166,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DeadMeat
167,1.0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,DeadMeat
168,1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,1,1,DeadMeat
169,1.0,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,DeadMeat
170,1.0,1,-1,-1,-1,0,1,-1,0,-1,0,0,0,-1,0,DeadMeat
171,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,0,0,DeadMeat
172,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,0,0,DeadMeat
173,1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,DeadMeat
174,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,0,0,DeadMeat
175,1.0,0,0,1,1,0,1,0,0,0,-1,1,0,0,0,DeadMeat
176,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,DeadMeat
177,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,DeadMeat
178,1.0,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,DeadMeat
179,1.0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,DeadMeat
180,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,DeadMeat
181,1.0,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,DeadMeat
182,1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,0,0,DeadMeat
183,-1.0,-1,0,1,1,0,1,0,0,-1,0,0,0,-1,0,DeadMeat
184,-1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,DeadMeat
185,-1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,DeadMeat
186,-1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,DeadMeat
187,-1.0,0,0,0,-1,1,0,0,0,-1,1,0,-1,-1,0,DeadMeat
188,-1.0,-1,0,0,0,-1,-1,1,0,1,0,0,-1,0,0,DeadMeat
189,-1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,-1,0,DeadMeat
190,-1.0,0,0,0,1,0,-1,1,0,1,0,0,0,0,0,DeadMeat
191,-1.0,-1,0,0,0,0,0,-1,0,0,-1,0,1,0,0,DeadMeat
192,-1.0,1,0,-1,-1,0,0,1,-1,0,0,0,0,-1,-1,DeadMeat
193,-1.0,-1,1,-1,1,-1,-1,1,0,1,0,-1,0,0,0,DeadMeat
194,-1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,1,0,DeadMeat
195,-1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,0,0,DeadMeat
196,-1.0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,DeadMeat
197,-1.0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,DeadMeat
198,-1.0,-1,0,0,0,0,-1,0,0,0,0,0,0,1,0,DeadMeat
199,-1.0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,DeadMeat
200,-1.0,0,0,1,1,0,0,0,-1,0,0,-1,1,0,0,DeadMeat
201,-1.0,0,0,1,1,0,1,0,0,0,-1,1,0,-1,0,DeadMeat
202,-1.0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,DeadMeat
203,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,DeadMeat
204,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,DeadMeat
205,-1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,DeadMeat
206,-1.0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,DeadMeat
207,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,DeadMeat
208,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,DeadMeat
209,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,DeadMeat
210,1.0,-1,0,1,1,0,0,0,0,0,0,0,0,-1,0,HollowPoiint
211,1.0,0,0,0,-1,1,-1,0,0,1,-1,0,1,0,0,HollowPoiint
212,1.0,-1,-1,-1,-1,0,0,1,0,1,0,0,0,1,0,HollowPoiint
213,1.0,0,0,-1,-1,0,0,0,0,0,1,0,1,0,0,HollowPoiint
214,1.0,0,0,1,1,0,0,0,0,0,-1,0,-1,-1,0,HollowPoiint
215,1.0,0,0,1,1,0,1,-1,0,-1,1,0,0,1,1,HollowPoiint
216,1.0,-1,0,0,1,0,-1,0,0,0,0,0,1,0,0,HollowPoiint
217,1.0,1,0,0,0,1,1,-1,0,-1,0,0,1,0,0,HollowPoiint
218,1.0,1,0,0,-1,0,1,0,0,0,0,0,-1,0,0,HollowPoiint
219,1.0,0,0,0,-1,0,1,-1,0,-1,0,0,0,1,0,HollowPoiint
220,1.0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,HollowPoiint
221,1.0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,HollowPoiint
222,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,HollowPoiint
223,1.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,HollowPoiint
224,1.0,0,0,1,1,0,1,-1,0,-1,1,0,0,1,1,HollowPoiint
225,1.0,0,0,-1,-1,0,0,0,0,0,1,0,1,0,0,HollowPoiint
226,1.0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,HollowPoiint
227,1.0,0,0,1,1,0,1,-1,0,-1,1,0,0,1,1,HollowPoiint
228,1.0,0,0,-1,-1,0,0,0,0,0,1,0,1,0,0,HollowPoiint
229,1.0,0,0,0,-1,1,-1,0,0,1,-1,0,1,0,0,HollowPoiint
230,-1.0,1,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,HollowPoiint
231,-1.0,0,0,0,1,-1,1,0,0,-1,1,0,-1,1,0,HollowPoiint
232,-1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,HollowPoiint
233,-1.0,1,1,1,1,0,1,-1,0,-1,-1,0,0,0,0,HollowPoiint
234,-1.0,0,0,-1,-1,0,-1,1,0,1,0,0,0,0,0,HollowPoiint
235,-1.0,1,1,1,0,0,-1,0,0,1,-1,0,1,-1,-1,HollowPoiint
236,-1.0,0,-1,0,-1,-1,1,0,0,0,0,0,-1,0,0,HollowPoiint
237,-1.0,0,0,0,-1,1,0,0,0,-1,1,0,-1,0,0,HollowPoiint
238,-1.0,1,0,-1,1,0,1,0,0,0,-1,0,1,0,0,HollowPoiint
239,-1.0,-1,0,0,0,-1,-1,1,0,1,0,0,-1,0,0,HollowPoiint
240,-1.0,0,0,0,1,-1,0,0,0,1,-1,0,1,-1,0,HollowPoiint
241,-1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,1,0,HollowPoiint
242,-1.0,0,0,0,1,0,-1,1,0,1,0,0,0,-1,0,HollowPoiint
243,-1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,1,1,HollowPoiint
244,-1.0,1,0,-1,-1,0,0,1,-1,0,0,0,0,-1,-1,HollowPoiint
245,-1.0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,HollowPoiint
246,-1.0,0,0,-1,-1,0,-1,0,0,0,1,-1,0,1,0,HollowPoiint
247,-1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,HollowPoiint
248,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,HollowPoiint
249,-1.0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,HollowPoiint
250,1.0,1,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,Jacksepticeye
251,1.0,0,0,0,-1,1,-1,0,0,1,-1,0,1,0,0,Jacksepticeye
252,1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,Jacksepticeye
253,1.0,0,0,-1,-1,0,0,0,0,0,1,0,1,0,0,Jacksepticeye
254,1.0,0,0,1,1,0,1,-1,0,-1,1,0,0,1,1,Jacksepticeye
255,1.0,0,1,0,1,1,-1,0,0,0,0,0,1,0,0,Jacksepticeye
256,1.0,1,1,1,1,0,0,0,0,0,0,-1,1,1,0,Jacksepticeye
257,1.0,-1,0,0,1,0,-1,0,0,0,0,0,1,1,0,Jacksepticeye
258,1.0,0,0,0,-1,1,0,0,0,-1,1,0,-1,-1,0,Jacksepticeye
259,1.0,-1,0,-1,1,0,0,1,0,0,0,0,0,0,0,Jacksepticeye
260,1.0,0,1,0,1,1,-1,0,0,0,0,0,1,1,0,Jacksepticeye
261,1.0,1,0,1,-1,0,1,-1,0,0,-1,0,0,-1,0,Jacksepticeye
262,1.0,-1,0,0,0,0,0,-1,0,0,-1,0,1,0,0,Jacksepticeye
263,1.0,0,0,0,-1,0,1,-1,0,-1,0,0,0,1,0,Jacksepticeye
264,1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,1,1,Jacksepticeye
265,1.0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,Jacksepticeye
266,1.0,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,Jacksepticeye
267,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,-1,0,Jacksepticeye
268,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,1,0,Jacksepticeye
269,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Jacksepticeye
270,1.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,Jacksepticeye
271,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jacksepticeye
272,1.0,0,0,0,0,0,-1,0,1,0,0,1,0,1,0,Jacksepticeye
273,1.0,-1,0,0,0,0,-1,0,1,0,0,0,0,1,0,Jacksepticeye
274,1.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,Jacksepticeye
275,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jacksepticeye
276,1.0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,Jacksepticeye
277,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,-1,0,Jacksepticeye
278,1.0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,Jacksepticeye
279,1.0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,Jacksepticeye
280,1.0,0,1,0,1,1,-1,0,0,0,0,0,1,0,0,Jacksepticeye
281,-1.0,-1,0,1,1,0,0,0,0,0,0,0,0,-1,0,Jacksepticeye
282,-1.0,-1,0,1,1,0,1,0,0,-1,0,0,0,-1,0,Jacksepticeye
283,-1.0,0,0,0,1,-1,1,0,0,-1,1,0,-1,1,0,Jacksepticeye
284,-1.0,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,Jacksepticeye
285,-1.0,0,0,-1,-1,0,-1,1,0,1,-1,0,0,-1,0,Jacksepticeye
286,-1.0,0,-1,0,-1,-1,1,0,0,0,0,0,-1,0,0,Jacksepticeye
287,-1.0,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,0,0,Jacksepticeye
288,-1.0,0,-1,0,-1,-1,1,0,0,0,0,0,-1,-1,0,Jacksepticeye
289,-1.0,-1,0,0,0,-1,-1,1,0,1,0,0,-1,0,0,Jacksepticeye
290,-1.0,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,Jacksepticeye
291,-1.0,-1,0,1,-1,0,-1,0,0,0,1,0,-1,1,0,Jacksepticeye
292,-1.0,0,0,0,1,-1,0,0,0,1,-1,0,1,-1,0,Jacksepticeye
293,-1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,0,0,Jacksepticeye
294,-1.0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,Jacksepticeye
295,-1.0,0,0,0,1,0,-1,1,0,1,0,0,0,-1,0,Jacksepticeye
296,-1.0,1,0,-1,-1,0,0,1,-1,0,0,0,0,-1,-1,Jacksepticeye
297,-1.0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,Jacksepticeye
298,-1.0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,Jacksepticeye
299,-1.0,1,1,0,0,0,0,-1,0,0,-1,0,1,0,0,Jacksepticeye
300,-1.0,-1,-1,1,1,0,0,1,0,0,0,0,-1,0,0,Jacksepticeye
301,-1.0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,Jacksepticeye
302,-1.0,1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,Jacksepticeye
303,-1.0,1,0,0,0,0,1,0,-1,0,0,0,0,1,0,Jacksepticeye
304,-1.0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,Jacksepticeye
305,-1.0,0,0,0,0,0,-1,0,1,0,0,1,0,1,0,Jacksepticeye
306,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,Jacksepticeye
307,-1.0,0,0,1,1,0,0,0,-1,0,0,-1,1,-1,0,Jacksepticeye
308,-1.0,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,Jacksepticeye
309,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,Jacksepticeye
310,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,Jacksepticeye
